Date,Open,High,Low,Close,Adj Close,Volume,Quarter
8/27/20,39.75,40.02,38.605,39.73,39.73,3035000,3
8/28/20,40.200001,40.84,39.630001,39.650002,39.650002,3068100,3
8/31/20,39.700001,39.900002,38.169998,38.259998,38.259998,4318700,3
9/1/20,38.939999,40.400002,38.939999,39.740002,39.740002,4983700,3
9/2/20,40.200001,40.389999,37.849998,39,39,6208700,3
9/3/20,37.849998,37.98,35.540001,36.23,36.23,8940100,3
9/4/20,35.139999,36.27,32.810001,34.77,34.77,7996700,3
9/8/20,33.060001,34.759998,32.695,32.939999,32.939999,6522900,3
9/9/20,34.029999,34.419998,33.209999,34.009998,34.009998,4669800,3
9/10/20,34.490002,35.119999,33.360001,33.580002,33.580002,3854900,3
9/11/20,34.009998,34.563,33.720001,34.169998,34.169998,6866600,3
9/14/20,34.48,35.139999,34.150002,34.830002,34.830002,4530600,3
9/15/20,35.25,36.25,35.07,36.169998,36.169998,6231500,3
9/16/20,36.150002,36.330002,35.470001,35.900002,35.900002,5678100,3
9/17/20,34.650002,36.139999,34.529999,36.099998,36.099998,4782500,3
9/18/20,36.5,37.181,35.639999,37.099998,37.099998,11086400,3
9/21/20,36.5,38.970001,36.5,38.959999,38.959999,5441100,3
9/22/20,39.139999,39.970001,37.560001,39.869999,39.869999,4687500,3
9/23/20,39.919998,40.599998,39.400002,39.98,39.98,5934300,3
9/24/20,39.080002,39.580002,38.110001,38.52,38.52,4202400,3
9/25/20,38.860001,40.139999,38.255001,40.040001,40.040001,2152300,3
9/28/20,40.169998,41.049999,39.52,40.880001,40.880001,3239900,3
9/29/20,41.110001,41.5,40.470001,40.669998,40.669998,2710000,3
9/30/20,40.470001,41.77,40.16,41.060001,41.060001,2784300,3
10/1/20,41.52,42.540001,41.439999,42.029999,42.029999,4843500,4
10/2/20,41.099998,42.580002,40.5,41.75,41.75,3201400,4
10/5/20,42.02,43.176998,41.810001,42.860001,42.860001,3869000,4
10/6/20,42.700001,43.099998,41.66,42.23,42.23,5647600,4
10/7/20,42.900002,43.419998,42.599998,43.380001,43.380001,3614500,4
10/8/20,44.52,44.599998,42.970001,43.41,43.41,3333800,4
10/9/20,43.66,46.369999,43.509998,46.349998,46.349998,5629000,4
10/12/20,47.119999,57.299999,47,57.009998,57.009998,27061500,4
10/13/20,55.200001,60.130001,54.82,59.73,59.73,15590300,4
10/14/20,59.5,61.669998,58.18,61.5,61.5,10308000,4
10/15/20,56,60.099998,54.855,58.779999,58.779999,17108900,4
10/16/20,60.34,61.860001,58,58.290001,58.290001,7938200,4
10/19/20,58.560001,60.16,57.830002,58.27,58.27,5002000,4
10/20/20,57.799999,58.5,56.919998,57.060001,57.060001,3320500,4
10/21/20,57.549999,58.299999,54.639999,54.98,54.98,4510500,4
10/22/20,55,56.639999,54.209999,55.810001,55.810001,3422400,4
10/23/20,55.220001,56.383999,54.959999,55.82,55.82,3120100,4
10/26/20,55.07,56.57,53.650002,54.75,54.75,4115900,4
10/27/20,56.150002,57.75,55.330002,55.98,55.98,3971800,4
10/28/20,55.279999,55.849998,54.040001,54.759998,54.759998,2535200,4
10/29/20,54.91,55.5,53.459999,54,54,2391000,4
10/30/20,53.490002,53.764999,50.540001,51.970001,51.970001,4148800,4
11/2/20,52.869999,53.220001,50.950001,52.049999,52.049999,2600300,4
11/3/20,51.709999,53.18,51.599998,53.049999,53.049999,2094600,4
11/4/20,55,57,54.299999,56.119999,56.119999,3494400,4
11/5/20,57.5,58.419998,56.257999,58,58,4778600,4
11/6/20,63.73,71.769997,61.700001,64.470001,64.470001,16776700,4
11/9/20,63.009998,66.080002,60.52,64.57,64.57,8760800,4
11/10/20,61.25,64.690002,58.34,61.240002,61.240002,6705500,4
11/11/20,62,66.139999,61.904999,65.459999,65.459999,5928700,4
11/12/20,64,65.080002,62.740002,64.150002,64.150002,8509700,4
11/13/20,64.550003,64.75,63.061001,63.77,63.77,3381800,4
11/16/20,60.389999,64.879997,60,64.540001,64.540001,4896900,4
11/17/20,64,66.580002,63.02,65.959999,65.959999,8617800,4
11/18/20,66.75,66.860001,64.029999,64.480003,64.480003,4101400,4
11/19/20,64.949997,66.330002,64.300003,65.889999,65.889999,4198800,4
11/20/20,66,68.206001,65.5,66.550003,66.550003,6267800,4
11/23/20,67,67.254997,64.589996,66.089996,66.089996,4664300,4
11/24/20,66.199997,68.910004,65.110001,66.690002,66.690002,4488800,4
11/25/20,66.739998,70,66.720001,69.989998,69.989998,5167200,4
11/27/20,71,74.93,70.959999,74.760002,74.760002,5107800,4
11/30/20,74.150002,76.769997,70.099998,75.080002,75.080002,17157600,4
12/1/20,76.800003,76.800003,71.169998,72.290001,72.290001,5447600,4
12/2/20,71.639999,71.989998,68.830002,71.900002,71.900002,3343400,4
12/3/20,72.970001,75.190002,72.330002,74.129997,74.129997,3391200,4
12/4/20,74.470001,77.839996,74.040001,77.349998,77.349998,4043800,4
12/7/20,77.370003,82.519997,77.309998,81.959999,81.959999,4541300,4
12/8/20,82.160004,84.360001,80.900002,83.550003,83.550003,4894800,4
12/9/20,82.010002,82.360001,75.730003,77.309998,77.309998,6031200,4
12/10/20,77,86.209999,76.370003,84.050003,84.050003,8571600,4
12/11/20,83.419998,83.419998,78.809998,82.410004,82.410004,5866000,4
12/14/20,83.260002,84.199997,80.970001,81.43,81.43,4149600,4
12/15/20,81.889999,83.370003,80.420998,81.459999,81.459999,5089100,4
12/16/20,82,82,79.683998,81.809998,81.809998,4110400,4
12/17/20,82.150002,82.489998,79.610001,81.82,81.82,4915100,4
12/18/20,82,84.199997,81.050003,83.809998,83.809998,9964600,4
12/21/20,85.330002,87.199997,82.959999,86.209999,86.209999,6874700,4
12/22/20,87,88.769997,84.440002,86.559998,86.559998,5595400,4
12/23/20,86.550003,86.550003,81.25,81.900002,81.900002,4847500,4
12/24/20,83.959999,87.300003,82.634003,84.980003,84.980003,2892200,4
12/28/20,86.730003,86.730003,77.489998,77.5,77.5,7276100,4
12/29/20,79.139999,80.120003,75.940002,76.400002,76.400002,6518100,4
12/30/20,77.209999,78.349998,74.510002,77.529999,77.529999,5049100,4
12/31/20,77.449997,77.790001,75.040001,75.989998,75.989998,3444300,4
